city,lat,lon,Max Temp,Humidity,Cloudiness,Windspeed,Country,Date
vila,42.0304,-8.1588,66.2,34,0,17.27,PT,1613409437
sirjan,29.452,55.6814,54.18,32,0,2.37,IR,1613409437
petropavlovsk-kamchatskiy,53.0452,158.6483,5.0,72,0,8.95,RU,1613409438
torbay,47.6666,-52.7314,28.99,64,75,21.85,CA,1613409438
saskylakh,71.9167,114.0833,-22.52,86,100,9.64,RU,1613409438
butaritari,3.0707,172.7902,79.12,80,17,15.26,KI,1613409439
hualmay,-11.0964,-77.6139,77.79,61,2,9.8,PE,1613409439
ipixuna,-1.7625,-48.8043,78.8,89,75,6.91,BR,1613409439
margate,51.3813,1.3862,48.99,77,94,4.0,GB,1613409318
conakry,9.538,-13.6773,87.8,62,4,9.22,GN,1613409439
port blair,11.6667,92.75,78.55,82,9,9.13,IN,1613409439
sur,22.5667,59.5289,68.77,68,0,1.9,OM,1613409439
goderich,43.7501,-81.7165,17.6,73,100,9.22,CA,1613409440
nikolskoye,59.7035,30.7861,17.6,79,75,11.18,RU,1613409440
busselton,-33.65,115.3333,66.99,94,1,1.01,AU,1613409440
kansanshi,-12.0951,26.4273,68.18,76,20,2.91,ZM,1613409440
adrar,20.5022,-10.0711,83.8,13,26,19.15,MR,1613409440
provideniya,64.3833,-173.3,-1.1,81,61,16.13,RU,1613409440
hermanus,-34.4187,19.2345,66.99,59,6,3.0,ZA,1613409440
bluff,-46.6,168.3333,42.01,89,76,1.01,NZ,1613409441
nakamura,32.9833,132.9333,42.76,69,0,11.18,JP,1613409441
high level,58.5169,-117.136,-4.0,71,75,4.61,CA,1613409441
anchorage,61.2181,-149.9003,19.99,73,75,5.86,US,1613409304
caceres,39.522,-6.3748,62.01,61,68,5.99,ES,1613409441
tuktoyaktuk,69.4541,-133.0374,-23.8,76,75,4.38,CA,1613409441
broken hill,-31.95,141.4333,73.4,35,0,11.5,AU,1613409441
ushuaia,-54.8,-68.3,57.2,54,20,8.05,AR,1613409442
katobu,-4.9408,122.5276,76.89,88,96,2.06,ID,1613409442
namibe,-15.1961,12.1522,76.69,73,0,14.03,AO,1613409442
te anau,-45.4167,167.7167,41.36,86,40,6.02,NZ,1613409442
dikson,73.5069,80.5464,-24.7,81,100,3.51,RU,1613409442
songjianghe,42.1859,127.479,-1.59,90,99,6.15,CN,1613409442
saint-philippe,-21.3585,55.7679,78.8,73,0,4.61,RE,1613409443
albany,42.6001,-73.9662,26.01,66,100,2.08,US,1613409302
new norfolk,-42.7826,147.0587,55.99,76,95,1.34,AU,1613409443
mana,5.6592,-53.7767,80.06,72,99,14.27,GF,1613409443
kilimatinde,-5.85,34.95,69.31,89,55,2.64,TZ,1613409443
birjand,32.8663,59.2211,44.6,8,0,4.61,IR,1613409443
yellowknife,62.456,-114.3525,-14.01,84,20,8.05,CA,1613409339
ciudad ojeda,10.1964,-71.3082,86.79,62,75,6.71,VE,1613409444
leningradskiy,69.3833,178.4167,-15.68,87,0,4.45,RU,1613409444
ketchikan,55.3422,-131.6461,33.8,100,90,6.91,US,1613409444
leshukonskoye,64.8989,45.7622,-7.37,90,100,2.33,RU,1613409444
gidole,5.65,37.3667,72.48,42,83,0.63,ET,1613409444
livingston,55.9029,-3.5226,48.2,87,90,10.36,GB,1613409371
talara,-4.5772,-81.2719,89.6,48,0,10.36,PE,1613409444
sobolevo,54.4299,31.8996,-0.44,93,98,5.91,RU,1613409445
nanortalik,60.1432,-45.2371,22.84,85,0,21.3,GL,1613409445
vila franca do campo,37.7167,-25.4333,59.0,58,20,20.71,PT,1613409445
east london,-33.0153,27.9116,69.8,60,75,17.27,ZA,1613409193
kapaa,22.0752,-159.319,66.2,94,20,6.91,US,1613409445
kaitangata,-46.2817,169.8464,48.99,67,80,4.0,NZ,1613409445
karimpur,23.9667,88.6167,65.44,30,0,6.55,IN,1613409446
mataura,-46.1927,168.8643,42.01,89,28,1.01,NZ,1613409446
hithadhoo,-0.6,73.0833,83.17,71,57,4.83,MV,1613409446
manokwari,-0.8667,134.0833,77.65,82,100,10.83,ID,1613409447
port elizabeth,-33.918,25.5701,68.0,68,0,16.11,ZA,1613409447
qaanaaq,77.484,-69.3632,-5.64,88,93,2.01,GL,1613409447
clyde river,70.4692,-68.5914,-18.4,76,20,7.34,CA,1613409447
banjarmasin,-3.3244,114.591,73.4,100,40,3.44,ID,1613409423
imeni poliny osipenko,52.4201,136.4853,-0.4,91,87,13.71,RU,1613409448
rikitea,-23.1203,-134.9692,79.23,79,50,15.77,PF,1613409448
tiksi,71.6872,128.8694,-7.87,91,100,10.11,RU,1613409448
gull lake,50.1001,-108.4847,-4.0,59,1,24.16,CA,1613409448
saint anthony,45.0205,-93.218,-6.0,54,1,3.44,US,1613409448
yarada,17.65,83.2667,73.4,88,0,2.3,IN,1613409448
bay-khaak,51.1667,94.5,2.79,89,53,2.53,RU,1613409449
georgetown,5.4112,100.3354,80.6,69,20,3.44,MY,1613409184
cidreira,-30.1811,-50.2056,82.92,56,54,7.36,BR,1613409449
opuwo,-18.0607,13.84,84.67,25,99,16.73,NA,1613409449
constitucion,-35.3333,-72.4167,65.28,65,18,6.78,CL,1613409449
port lincoln,-34.7333,135.8667,65.62,76,92,9.42,AU,1613409449
caravelas,-17.7125,-39.2481,84.2,60,69,10.71,BR,1613409449
barrow,71.2906,-156.7887,-14.8,76,20,11.5,US,1613409450
nabire,-3.3667,135.4833,75.79,89,100,3.2,ID,1613409376
westport,41.1415,-73.3579,35.6,69,90,9.22,US,1613409452
soyo,-6.1349,12.3689,82.49,74,91,9.06,AO,1613409452
kutulik,53.3508,102.7839,-7.56,89,100,4.76,RU,1613409453
mahebourg,-20.4081,57.7,80.6,78,75,2.3,MU,1613409454
pacific grove,36.6177,-121.9166,55.4,94,90,6.4,US,1613409454
temecula,33.4936,-117.1484,52.0,71,1,5.7,US,1613409191
tilichiki,60.4667,166.1,-9.33,90,17,7.99,RU,1613409454
belaya gora,68.5333,146.4167,-29.33,85,0,3.04,RU,1613409454
bambous virieux,-20.3428,57.7575,81.0,78,75,2.3,MU,1613409454
cherskiy,68.75,161.3,-11.33,90,100,4.14,RU,1613409455
geraldton,-28.7667,114.6,71.6,88,0,4.61,AU,1613409455
rongcheng,30.634,117.8517,48.67,81,100,2.01,CN,1613409455
taoudenni,22.6783,-3.9836,78.46,18,0,24.87,ML,1613409456
hearst,49.6835,-83.6665,-5.8,65,100,8.05,CA,1613409456
hirado,33.3597,129.5531,44.01,25,0,5.01,JP,1613409456
hamilton,39.1834,-84.5333,23.0,73,90,16.11,US,1613409302
bengkulu,-3.8004,102.2655,77.29,89,100,4.88,ID,1613409456
bergen,60.392,5.328,37.0,93,75,11.5,NO,1613409457
bor,56.3567,44.0669,-2.2,84,0,6.71,RU,1613409457
kichmengskiy gorodok,59.9816,45.7854,-9.53,90,98,5.61,RU,1613409457
jamestown,42.097,-79.2353,25.0,80,90,4.88,US,1613409197
arraial do cabo,-22.9661,-42.0278,75.2,94,90,10.36,BR,1613409457
thompson,55.7435,-97.8558,-9.4,77,90,3.44,CA,1613409457
vaini,-21.2,-175.2,71.6,100,20,3.44,TO,1613409458
bathsheba,13.2167,-59.5167,84.2,51,40,23.02,BB,1613409458
cockburn town,21.4612,-71.1419,78.06,77,40,22.19,TC,1613409458
sorland,67.667,12.6934,37.4,75,0,17.27,NO,1613409458
sri aman,1.2376,111.4621,71.6,100,96,1.36,MY,1613409459
cumra,37.5732,32.7745,28.4,80,75,23.02,TR,1613409459
norman wells,65.282,-126.8329,-7.6,77,90,3.44,CA,1613409460
port alfred,-33.5906,26.891,68.0,82,32,5.01,ZA,1613409453
inuvik,68.3499,-133.7218,-5.8,77,100,2.3,CA,1613409460
hami,42.8,93.45,30.52,81,0,2.19,CN,1613409461
faanui,-16.4833,-151.75,82.08,72,100,13.11,PF,1613409461
cabo san lucas,22.8909,-109.9124,70.0,59,1,4.61,MX,1613409462
amazar,53.858,120.875,-15.86,83,96,5.53,RU,1613409462
ribeira grande,38.5167,-28.7,57.2,62,20,16.11,PT,1613409462
birao,10.2849,22.7882,88.2,14,51,4.32,CF,1613409462
avarua,-21.2078,-159.775,77.0,94,20,3.44,CK,1613409462
santa maria del oro,25.9333,-105.3667,50.14,48,17,1.7,MX,1613409463
la ronge,55.1001,-105.2842,-16.6,76,0,1.14,CA,1613409463
san policarpo,12.1791,125.5072,79.14,81,83,15.05,PH,1613409463
hobart,-42.8794,147.3294,59.0,82,75,5.75,AU,1613409354
havre-saint-pierre,50.2334,-63.5986,10.4,56,90,8.05,CA,1613409463
cayenne,4.9333,-52.3333,84.2,65,75,17.27,GF,1613409463
san cristobal,7.7669,-72.225,84.2,54,40,6.91,VE,1613409465
vardo,70.3705,31.1107,28.4,64,75,20.71,NO,1613409465
nome,64.5011,-165.4064,6.8,72,1,6.53,US,1613409465
alcudia,39.8532,3.1214,52.0,64,72,1.99,ES,1613409465
ukiah,39.1502,-123.2078,50.0,93,90,7.81,US,1613409465
punta arenas,-53.15,-70.9167,59.0,51,75,20.71,CL,1613409466
russell,32.3502,-85.1999,50.0,87,90,6.91,US,1613409302
puerto ayora,-0.7393,-90.3518,82.4,69,20,5.75,EC,1613409466
hilo,19.7297,-155.09,69.01,72,1,3.44,US,1613409466
shepsi,44.0361,39.1489,29.17,96,100,13.27,RU,1613409466
sampit,-2.5333,112.95,74.8,96,66,1.03,ID,1613409467
atuona,-9.8,-139.0333,78.19,79,21,13.15,PF,1613409467
kearney,40.6995,-99.0815,-16.6,69,1,3.44,US,1613409366
shumskiy,54.8318,99.1328,4.17,92,100,6.42,RU,1613409467
cape town,-33.9258,18.4232,71.01,49,20,24.16,ZA,1613409382
fort nelson,58.8053,-122.7002,-7.6,77,90,2.53,CA,1613409467
shaowu,27.3409,117.4831,54.23,70,0,1.54,CN,1613409311
kimbe,-5.5502,150.1429,76.93,86,97,2.13,PG,1613409467
notre-dame-de-gravenchon,49.4894,0.5719,50.0,81,90,11.5,FR,1613409468
poli,-3.3333,36.8,66.54,75,89,2.84,TZ,1613409468
naze,28.3667,129.4833,54.41,76,14,16.42,JP,1613409468
grindavik,63.8424,-22.4338,41.0,87,75,18.41,IS,1613409468
pangnirtung,66.1451,-65.7125,-11.2,64,1,2.42,CA,1613409468
strezhevoy,60.7333,77.5889,15.8,79,0,11.18,RU,1613409244
nishihara,26.1842,127.7558,62.6,58,20,5.75,JP,1613409469
asfi,32.2994,-9.2372,66.88,62,0,6.58,MA,1613409469
kindu,-2.95,25.95,77.9,75,100,0.27,CD,1613409469
beloha,-25.1667,45.05,78.01,68,95,13.24,MG,1613409469
doha,25.2867,51.5333,69.8,78,0,5.75,QA,1613409469
skelleftea,64.7507,20.9528,19.99,86,0,6.91,SE,1613409470
